review_text,sentiment,source,clean_review
This purchase feels useful; the voice recognition exceeded my expectations.,Positive,sample_reviews.csv,purchase feels useful voice recognition exceeded expectations
I had a reliable experience with the delivery and I am satisfied.,Positive,sample_reviews.csv,reliable experience delivery satisfied
I had a great experience with the smart features and I am satisfied.,Positive,sample_reviews.csv,great experience smart features satisfied
I recommend it because the interface is great and dependable. Review number 61.,Positive,sample_reviews.csv,recommend interface great dependable number
"The packaging is amazing, convenient, and works well every day. Review number 62.",Positive,sample_reviews.csv,packaging amazing convenient works day number
I recommend it because the mobile app is smooth and dependable.,Positive,sample_reviews.csv,recommend mobile app smooth dependable
This purchase feels smooth; the delivery exceeded my expectations. Review number 64.,Positive,sample_reviews.csv,purchase feels smooth delivery exceeded expectations number
I recommend it because the interface is reliable and dependable.,Positive,sample_reviews.csv,recommend interface reliable dependable
"The speaker is useful, convenient, and works well every day.",Positive,sample_reviews.csv,speaker useful convenient works day
This purchase feels helpful; the interface exceeded my expectations.,Positive,sample_reviews.csv,purchase feels helpful interface exceeded expectations
I recommend it because the voice recognition is great and dependable.,Positive,sample_reviews.csv,recommend voice recognition great dependable
"The connection is great, convenient, and works well every day.",Positive,sample_reviews.csv,connection great convenient works day
I had a frustrating experience with the interface and I am disappointed.,Negative,sample_reviews.csv,frustrating experience interface disappointed
"The voice recognition is frustrating, unreliable, and does not work well.",Negative,sample_reviews.csv,voice recognition frustrating unreliable does work
I had a bad experience with the smart features and I am disappointed.,Negative,sample_reviews.csv,bad experience smart features disappointed
I had a unreliable experience with the setup process and I am disappointed.,Negative,sample_reviews.csv,unreliable experience setup process disappointed
I had a broken experience with the setup process and I am disappointed.,Negative,sample_reviews.csv,broken experience setup process disappointed
Very unhappy with the battery life; performance is unreliable and hard to use.,Negative,sample_reviews.csv,unhappy battery life performance unreliable hard use
I do not recommend it because the interface is unreliable and problematic.,Negative,sample_reviews.csv,recommend interface unreliable problematic
"The delivery is frustrating, unreliable, and does not work well.",Negative,sample_reviews.csv,delivery frustrating unreliable does work
I do not recommend it because the microphone is unreliable and problematic.,Negative,sample_reviews.csv,recommend microphone unreliable problematic
I do not recommend it because the setup process is unreliable and problematic.,Negative,sample_reviews.csv,recommend setup process unreliable problematic
I had a poor experience with the connection and I am disappointed.,Negative,sample_reviews.csv,poor experience connection disappointed
I do not recommend it because the microphone is poor and problematic.,Negative,sample_reviews.csv,recommend microphone poor problematic
I had a bad experience with the sound quality and I am disappointed.,Negative,sample_reviews.csv,bad experience sound quality disappointed
I do not recommend it because the setup process is broken and problematic.,Negative,sample_reviews.csv,recommend setup process broken problematic
"The voice recognition is unreliable, unreliable, and does not work well.",Negative,sample_reviews.csv,voice recognition unreliable unreliable does work
Very unhappy with the mobile app; performance is confusing and hard to use.,Negative,sample_reviews.csv,unhappy mobile app performance confusing hard use
I do not recommend it because the battery life is disappointing and problematic.,Negative,sample_reviews.csv,recommend battery life disappointing problematic
I do not recommend it because the setup process is unreliable and problematic. Review number 87.,Negative,sample_reviews.csv,recommend setup process unreliable problematic number
I do not recommend it because the setup process is distorted and problematic.,Negative,sample_reviews.csv,recommend setup process distorted problematic
I had a distorted experience with the sound quality and I am disappointed.,Negative,sample_reviews.csv,distorted experience sound quality disappointed
I had a unreliable experience with the mobile app and I am disappointed.,Negative,sample_reviews.csv,unreliable experience mobile app disappointed
I do not recommend it because the microphone is confusing and problematic.,Negative,sample_reviews.csv,recommend microphone confusing problematic
"The sound quality is poor, unreliable, and does not work well.",Negative,sample_reviews.csv,sound quality poor unreliable does work
"The sound quality is poor, unreliable, and does not work well. Review number 93.",Negative,sample_reviews.csv,sound quality poor unreliable does work number
I do not recommend it because the microphone is slow and problematic.,Negative,sample_reviews.csv,recommend microphone slow problematic
This purchase feels poor; the smart features failed my expectations.,Negative,sample_reviews.csv,purchase feels poor smart features failed expectations
Very unhappy with the mobile app; performance is confusing and hard to use. Review number 96.,Negative,sample_reviews.csv,unhappy mobile app performance confusing hard use number
"The voice recognition is slow, unreliable, and does not work well.",Negative,sample_reviews.csv,voice recognition slow unreliable does work
I had a frustrating experience with the smart features and I am disappointed.,Negative,sample_reviews.csv,frustrating experience smart features disappointed
Very unhappy with the smart features; performance is terrible and hard to use.,Negative,sample_reviews.csv,unhappy smart features performance terrible hard use
This purchase feels terrible; the sound quality failed my expectations.,Negative,sample_reviews.csv,purchase feels terrible sound quality failed expectations
Very unhappy with the interface; performance is confusing and hard to use.,Negative,sample_reviews.csv,unhappy interface performance confusing hard use
Very unhappy with the sound quality; performance is disappointing and hard to use.,Negative,sample_reviews.csv,unhappy sound quality performance disappointing hard use
Very unhappy with the mobile app; performance is bad and hard to use.,Negative,sample_reviews.csv,unhappy mobile app performance bad hard use
I had a frustrating experience with the setup process and I am disappointed.,Negative,sample_reviews.csv,frustrating experience setup process disappointed
"The setup process is poor, unreliable, and does not work well.",Negative,sample_reviews.csv,setup process poor unreliable does work
Very unhappy with the delivery; performance is unreliable and hard to use.,Negative,sample_reviews.csv,unhappy delivery performance unreliable hard use
Very unhappy with the delivery; performance is terrible and hard to use.,Negative,sample_reviews.csv,unhappy delivery performance terrible hard use
I had a poor experience with the packaging and I am disappointed.,Negative,sample_reviews.csv,poor experience packaging disappointed
Very unhappy with the interface; performance is frustrating and hard to use.,Negative,sample_reviews.csv,unhappy interface performance frustrating hard use
This purchase feels slow; the voice recognition failed my expectations.,Negative,sample_reviews.csv,purchase feels slow voice recognition failed expectations
This purchase feels unreliable; the battery life failed my expectations.,Negative,sample_reviews.csv,purchase feels unreliable battery life failed expectations
I do not recommend it because the packaging is disappointing and problematic.,Negative,sample_reviews.csv,recommend packaging disappointing problematic
This purchase feels confusing; the connection failed my expectations.,Negative,sample_reviews.csv,purchase feels confusing connection failed expectations
I had a terrible experience with the microphone and I am disappointed.,Negative,sample_reviews.csv,terrible experience microphone disappointed
Very unhappy with the setup process; performance is frustrating and hard to use.,Negative,sample_reviews.csv,unhappy setup process performance frustrating hard use
I had a distorted experience with the voice recognition and I am disappointed.,Negative,sample_reviews.csv,distorted experience voice recognition disappointed
Very unhappy with the mobile app; performance is slow and hard to use.,Negative,sample_reviews.csv,unhappy mobile app performance slow hard use
This purchase feels bad; the voice recognition failed my expectations.,Negative,sample_reviews.csv,purchase feels bad voice recognition failed expectations
This purchase feels slow; the mobile app failed my expectations.,Negative,sample_reviews.csv,purchase feels slow mobile app failed expectations
I do not recommend it because the smart features is distorted and problematic.,Negative,sample_reviews.csv,recommend smart features distorted problematic
This purchase feels frustrating; the packaging failed my expectations.,Negative,sample_reviews.csv,purchase feels frustrating packaging failed expectations
Very unhappy with the packaging; performance is terrible and hard to use.,Negative,sample_reviews.csv,unhappy packaging performance terrible hard use
Very unhappy with the packaging; performance is slow and hard to use.,Negative,sample_reviews.csv,unhappy packaging performance slow hard use
I had a disappointing experience with the battery life and I am disappointed.,Negative,sample_reviews.csv,disappointing experience battery life disappointed
I had a bad experience with the smart features and I am disappointed. Review number 125.,Negative,sample_reviews.csv,bad experience smart features disappointed number
Very unhappy with the battery life; performance is disappointing and hard to use.,Negative,sample_reviews.csv,unhappy battery life performance disappointing hard use
This purchase feels frustrating; the voice recognition failed my expectations.,Negative,sample_reviews.csv,purchase feels frustrating voice recognition failed expectations
This purchase feels unreliable; the packaging failed my expectations.,Negative,sample_reviews.csv,purchase feels unreliable packaging failed expectations
This purchase feels distorted; the microphone failed my expectations.,Negative,sample_reviews.csv,purchase feels distorted microphone failed expectations
This purchase feels terrible; the setup process failed my expectations.,Negative,sample_reviews.csv,purchase feels terrible setup process failed expectations
I do not recommend it because the sound quality is slow and problematic.,Negative,sample_reviews.csv,recommend sound quality slow problematic
I had a broken experience with the mobile app and I am disappointed.,Negative,sample_reviews.csv,broken experience mobile app disappointed
This purchase feels disappointing; the smart features failed my expectations.,Negative,sample_reviews.csv,purchase feels disappointing smart features failed expectations
I do not recommend it because the smart features is distorted and problematic. Review number 134.,Negative,sample_reviews.csv,recommend smart features distorted problematic number
I do not recommend it because the sound quality is distorted and problematic.,Negative,sample_reviews.csv,recommend sound quality distorted problematic
I had a bad experience with the smart features and I am disappointed. Review number 136.,Negative,sample_reviews.csv,bad experience smart features disappointed number
"The sound quality is distorted, unreliable, and does not work well.",Negative,sample_reviews.csv,sound quality distorted unreliable does work
This purchase feels frustrating; the interface failed my expectations.,Negative,sample_reviews.csv,purchase feels frustrating interface failed expectations
"The mobile app is poor, unreliable, and does not work well.",Negative,sample_reviews.csv,mobile app poor unreliable does work
The connection is normal and works for basic tasks.,Neutral,sample_reviews.csv,connection normal works basic tasks
The voice recognition is acceptable and works for basic tasks.,Neutral,sample_reviews.csv,voice recognition acceptable works basic tasks
I have used the connection briefly; the experience is standard.,Neutral,sample_reviews.csv,used connection briefly experience standard
The delivery performs as expected and the result is typical.,Neutral,sample_reviews.csv,delivery performs expected result typical
I have used the mobile app briefly; the experience is basic.,Neutral,sample_reviews.csv,used mobile app briefly experience basic
I have used the sound quality briefly; the experience is typical.,Neutral,sample_reviews.csv,used sound quality briefly experience typical
I have used the speaker briefly; the experience is acceptable.,Neutral,sample_reviews.csv,used speaker briefly experience acceptable
I have used the mobile app briefly; the experience is normal.,Neutral,sample_reviews.csv,used mobile app briefly experience normal
The sound quality is typical and works for basic tasks.,Neutral,sample_reviews.csv,sound quality typical works basic tasks
This is a basic product with common features for daily use.,Neutral,sample_reviews.csv,basic common features daily use
This is a acceptable product with common features for daily use.,Neutral,sample_reviews.csv,acceptable common features daily use
I have used the sound quality briefly; the experience is basic.,Neutral,sample_reviews.csv,used sound quality briefly experience basic
I have used the connection briefly; the experience is typical.,Neutral,sample_reviews.csv,used connection briefly experience typical
"The battery life is standard, neither impressive nor disappointing.",Neutral,sample_reviews.csv,battery life standard impressive disappointing
"The speaker is moderate, neither impressive nor disappointing.",Neutral,sample_reviews.csv,speaker moderate impressive disappointing
The sound quality performs as expected and the result is acceptable.,Neutral,sample_reviews.csv,sound quality performs expected result acceptable
The mobile app is normal and works for basic tasks.,Neutral,sample_reviews.csv,mobile app normal works basic tasks
The sound quality performs as expected and the result is normal.,Neutral,sample_reviews.csv,sound quality performs expected result normal
The speaker is regular and works for basic tasks.,Neutral,sample_reviews.csv,speaker regular works basic tasks
"The speaker is acceptable, neither impressive nor disappointing.",Neutral,sample_reviews.csv,speaker acceptable impressive disappointing
The setup process performs as expected and the result is moderate.,Neutral,sample_reviews.csv,setup process performs expected result moderate
This is a regular product with common features for daily use.,Neutral,sample_reviews.csv,regular common features daily use
"The smart features is average, neither impressive nor disappointing.",Neutral,sample_reviews.csv,smart features average impressive disappointing
This is a average product with common features for daily use.,Neutral,sample_reviews.csv,average common features daily use
The connection performs as expected and the result is basic.,Neutral,sample_reviews.csv,connection performs expected result basic
This is a standard product with common features for daily use.,Neutral,sample_reviews.csv,standard common features daily use
"The connection is regular, neither impressive nor disappointing.",Neutral,sample_reviews.csv,connection regular impressive disappointing
The interface is normal and works for basic tasks.,Neutral,sample_reviews.csv,interface normal works basic tasks
"The connection is typical, neither impressive nor disappointing.",Neutral,sample_reviews.csv,connection typical impressive disappointing
This is a normal product with common features for daily use.,Neutral,sample_reviews.csv,normal common features daily use
I have used the speaker briefly; the experience is basic.,Neutral,sample_reviews.csv,used speaker briefly experience basic
This is a ordinary product with common features for daily use.,Neutral,sample_reviews.csv,ordinary common features daily use
The speaker performs as expected and the result is normal.,Neutral,sample_reviews.csv,speaker performs expected result normal
The battery life performs as expected and the result is average.,Neutral,sample_reviews.csv,battery life performs expected result average
"The speaker is basic, neither impressive nor disappointing.",Neutral,sample_reviews.csv,speaker basic impressive disappointing
The packaging performs as expected and the result is regular.,Neutral,sample_reviews.csv,packaging performs expected result regular
"The microphone is simple, neither impressive nor disappointing.",Neutral,sample_reviews.csv,microphone simple impressive disappointing
This is a basic product with common features for daily use. Review number 177.,Neutral,sample_reviews.csv,basic common features daily use number
This is a ordinary product with common features for daily use. Review number 178.,Neutral,sample_reviews.csv,ordinary common features daily use number
The interface is normal and works for basic tasks. Review number 179.,Neutral,sample_reviews.csv,interface normal works basic tasks number
The setup process performs as expected and the result is acceptable.,Neutral,sample_reviews.csv,setup process performs expected result acceptable
I have used the voice recognition briefly; the experience is normal.,Neutral,sample_reviews.csv,used voice recognition briefly experience normal
I have used the sound quality briefly; the experience is ordinary.,Neutral,sample_reviews.csv,used sound quality briefly experience ordinary
The microphone is basic and works for basic tasks.,Neutral,sample_reviews.csv,microphone basic works basic tasks
The microphone performs as expected and the result is standard.,Neutral,sample_reviews.csv,microphone performs expected result standard
This is a regular product with common features for daily use. Review number 185.,Neutral,sample_reviews.csv,regular common features daily use number
This is a simple product with common features for daily use.,Neutral,sample_reviews.csv,simple common features daily use
I have used the packaging briefly; the experience is ordinary.,Neutral,sample_reviews.csv,used packaging briefly experience ordinary
The speaker is standard and works for basic tasks.,Neutral,sample_reviews.csv,speaker standard works basic tasks
I have used the smart features briefly; the experience is ordinary.,Neutral,sample_reviews.csv,used smart features briefly experience ordinary
The sound quality performs as expected and the result is simple.,Neutral,sample_reviews.csv,sound quality performs expected result simple
The setup process performs as expected and the result is basic.,Neutral,sample_reviews.csv,setup process performs expected result basic
This is a ordinary product with common features for daily use. Review number 192.,Neutral,sample_reviews.csv,ordinary common features daily use number
The delivery performs as expected and the result is moderate.,Neutral,sample_reviews.csv,delivery performs expected result moderate
"The delivery is simple, neither impressive nor disappointing.",Neutral,sample_reviews.csv,delivery simple impressive disappointing
The interface performs as expected and the result is typical.,Neutral,sample_reviews.csv,interface performs expected result typical
This is a ordinary product with common features for daily use. Review number 196.,Neutral,sample_reviews.csv,ordinary common features daily use number
This is a simple product with common features for daily use. Review number 197.,Neutral,sample_reviews.csv,simple common features daily use number
I have used the interface briefly; the experience is normal.,Neutral,sample_reviews.csv,used interface briefly experience normal
This is a basic product with common features for daily use. Review number 199.,Neutral,sample_reviews.csv,basic common features daily use number
This is a standard product with common features for daily use. Review number 200.,Neutral,sample_reviews.csv,standard common features daily use number
"The battery life is basic, neither impressive nor disappointing.",Neutral,sample_reviews.csv,battery life basic impressive disappointing
"The interface is acceptable, neither impressive nor disappointing.",Neutral,sample_reviews.csv,interface acceptable impressive disappointing
The mobile app is ordinary and works for basic tasks.,Neutral,sample_reviews.csv,mobile app ordinary works basic tasks
I have used the smart features briefly; the experience is typical.,Neutral,sample_reviews.csv,used smart features briefly experience typical
I have used the setup process briefly; the experience is basic.,Neutral,sample_reviews.csv,used setup process briefly experience basic
This is a typical product with common features for daily use.,Neutral,sample_reviews.csv,typical common features daily use
The speaker performs as expected and the result is simple.,Neutral,sample_reviews.csv,speaker performs expected result simple
The speaker is basic and works for basic tasks.,Neutral,sample_reviews.csv,speaker basic works basic tasks
This is a regular product with common features for daily use. Review number 209.,Neutral,sample_reviews.csv,regular common features daily use number
